appid,action,adventure,base_building,battle_royale,card_game,cartoon,casual,co_op,competitive,crafting,exploration,fps,fantasy,fighting,moba,massively_multiplayer,open_world,puzzle,rpg,rts,racing,realistic,relaxing,simulation,singleplayer,sports,strategy,survival,tactical,turn_based,","
2200,127,0,0,0,0,0,0,0,72,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,","
2210,101,7,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,","
2270,120,7,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,","
2280,184,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,","
2290,93,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,","
2300,154,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,","
2310,178,0,0,0,0,0,0,0,30,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,","
2320,115,0,0,0,0,0,0,19,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,","
2350,41,0,0,0,0,0,0,0,20,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
2360,44,0,0,0,0,0,0,0,0,0,0,37,25,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,","
2390,47,0,0,0,0,0,0,0,0,0,0,47,31,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,","
2400,128,39,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,104,0,0,0,0,47,49,0,41,55,0,0,","
2420,40,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,39,0,0,0,0,0,20,0,0,0,0,0,","
2450,60,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
2500,100,11,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,","
2540,13,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,","
2570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,0,0,0,0,0,6,0,0,0,0,0,","
2590,68,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,","
2600,316,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,0,0,0,0,0,355,0,0,0,0,0,","
2610,74,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,5,0,0,0,0,0,29,0,0,0,0,0,","
2620,154,0,0,0,0,0,0,8,0,0,0,172,0,0,0,0,6,0,0,0,0,8,0,0,88,0,0,0,0,0,","
2630,157,9,0,0,0,0,8,10,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,5,107,0,0,0,0,0,","
2640,74,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,","
2700,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,257,98,0,132,0,0,0,","
2710,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,18,0,0,0,","
2780,36,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,10,0,","
2800,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,33,18,0,39,0,0,0,","
2810,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,75,39,0,67,0,0,0,","
2820,61,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,108,0,0,0,0,0,0,205,91,0,120,0,0,0,","
2840,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,52,18,0,32,0,0,0,","
2870,148,21,0,0,0,0,0,0,0,0,12,0,0,0,0,0,96,0,0,0,0,0,0,311,115,0,32,0,0,0,","
2910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,25,0,0,0,","
2990,65,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,22,54,0,0,0,0,0,","
3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,","
3020,72,32,0,0,0,0,0,0,0,0,0,63,0,0,0,0,8,0,0,0,0,0,0,0,31,0,0,0,0,0,","
3130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,41,0,0,0,","
3170,0,27,0,0,0,0,0,0,0,0,0,0,53,0,0,0,22,0,103,0,0,0,0,0,24,0,67,0,24,39,","
3260,0,36,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,","
3270,51,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,","
3300,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,7,0,0,0,0,0,","
3310,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,7,0,0,0,0,0,","
3320,14,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,0,12,0,0,0,","
3330,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,13,0,0,0,0,0,","
3340,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,","
3350,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,0,0,0,","
3360,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
3380,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,","
3390,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,","
3400,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
3420,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
3430,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
3440,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,","
3450,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
3460,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,","
3480,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,35,0,0,0,0,0,","
3483,8,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,","
3540,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,12,0,0,0,0,0,","
3590,0,56,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,361,0,484,101,86,0,","
3620,30,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,18,0,0,0,0,0,","
3700,86,0,0,0,0,0,0,19,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,","
3710,39,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,","
3720,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,78,100,0,175,0,0,0,","
3730,88,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,","
3800,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,","
3810,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,","
3820,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,","
3830,325,398,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,","
3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,69,0,234,0,17,151,","
3910,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,37,65,0,192,0,0,100,","
3920,48,100,0,0,0,0,0,0,0,0,35,0,0,12,0,0,144,0,127,0,0,0,0,0,96,0,66,0,0,0,","
3980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,41,0,0,0,","
3990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,75,0,0,40,","
4000,4459,3736,0,0,0,0,0,6006,0,0,0,4823,0,0,0,3738,0,0,0,0,0,0,0,5244,4785,0,0,0,0,0,","
4230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,12,0,0,0,0,0,0,","
4500,508,225,0,0,0,0,0,0,0,0,0,757,0,0,0,0,865,0,425,0,0,0,0,0,272,0,0,652,0,0,","
4520,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,34,0,12,0,","
4560,244,0,165,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,65,211,0,491,0,229,0,","
4570,39,0,103,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,191,0,0,0,0,74,0,225,0,82,0,","
4580,32,13,101,0,0,0,0,16,0,0,0,0,14,0,0,0,0,0,0,162,0,0,0,0,75,0,225,0,27,0,","
4700,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,76,157,0,450,0,185,112,","
4720,97,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,14,0,0,","
4760,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,34,114,0,437,0,164,111,","
4770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,11,0,66,0,0,16,","
4780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,61,0,158,0,0,38,","
4800,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,17,24,0,0,0,0,0,0,42,0,0,0,","
4850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,80,0,0,0,","
4870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,34,0,0,0,","
4880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,41,0,0,0,","
4890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,43,0,0,0,","
4900,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,","
4920,426,44,0,0,0,0,0,166,237,0,0,507,0,0,0,0,0,0,0,316,0,0,0,0,0,0,533,0,148,0,","
6000,330,94,0,0,0,0,0,74,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,208,0,62,0,257,0,","
6010,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,","
6020,191,76,0,0,0,0,0,0,0,0,0,82,0,29,0,0,0,0,49,0,0,0,0,0,86,0,0,0,0,0,","
6030,144,41,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,","
6040,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,","
6060,707,161,0,0,0,0,0,206,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,350,0,204,0,209,0,","
6080,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,34,8,0,24,0,0,0,","
6090,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
6120,108,16,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,","
6200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,39,30,0,91,0,23,0,","
6220,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,29,0,0,0,0,0,","
6250,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,47,0,0,0,","
